Treatments,Soil_C_Storage_0_30cm_Kg_m2,Soil_C_concentration_g_kg,Soil_bulk_density_g_cm3,Soil_water_content_percent,TNPP_g_m2,BNPP_g_m2,ANPP_g_m2,Relative_biomass_grasses_percent,Relative_biomass_forbs_percent,
LD-NG1,2.564 ,6.494 ,1.331 ,5.191 ,284.946 ,91.931 ,193.015 ,65.060 ,31.936 ,
LD-NG2,2.648 ,6.413 ,1.399 ,5.598 ,327.493 ,118.869 ,208.624 ,72.527 ,25.256 ,
LD-NG3,2.509 ,6.828 ,1.251 ,5.213 ,269.862 ,94.452 ,175.411 ,79.055 ,19.431 ,
HD-NG1,4.169 ,12.979 ,1.149 ,12.982 ,468.129 ,181.645 ,286.484 ,26.290 ,70.080 ,
HD-NG2,4.076 ,13.216 ,1.088 ,12.516 ,481.298 ,199.229 ,282.069 ,24.539 ,72.234 ,
HD-NG3,4.195 ,13.013 ,1.176 ,13.177 ,420.516 ,140.645 ,279.871 ,40.471 ,57.210 ,
LD-SG1,2.608 ,6.480 ,1.358 ,6.197 ,267.309 ,52.966 ,214.343 ,98.047 ,1.953 ,
LD-SG2,2.591 ,6.354 ,1.358 ,4.957 ,245.114 ,34.470 ,210.644 ,77.380 ,22.620 ,
LD-SG3,2.348 ,5.611 ,1.401 ,5.877 ,246.520 ,42.610 ,203.910 ,90.431 ,9.569 ,
HD-SG1,2.309 ,5.484 ,1.415 ,8.487 ,289.319 ,39.390 ,249.929 ,88.352 ,11.648 ,
HD-SG2,2.495 ,6.117 ,1.397 ,8.505 ,297.331 ,49.807 ,247.524 ,93.491 ,6.509 ,
HD-SG3,2.468 ,6.174 ,1.332 ,8.619 ,287.156 ,42.974 ,244.182 ,95.295 ,4.705 ,
LD-CG1,3.033 ,8.125 ,1.282 ,8.622 ,402.386 ,141.921 ,260.465 ,59.459 ,40.541 ,
LD-CG2,3.397 ,9.062 ,1.301 ,7.730 ,398.440 ,158.260 ,240.180 ,52.183 ,47.817 ,
LD-CG3,2.778 ,7.800 ,1.226 ,7.501 ,327.971 ,107.967 ,220.004 ,51.294 ,47.754 ,
HD-CG1,4.446 ,13.151 ,1.175 ,10.120 ,446.145 ,144.046 ,302.099 ,36.872 ,59.087 ,
HD-CG2,4.835 ,12.774 ,1.318 ,9.849 ,381.894 ,110.305 ,271.589 ,35.431 ,64.569 ,
HD-CG3,4.185 ,10.898 ,1.290 ,9.360 ,363.411 ,110.457 ,252.954 ,54.181 ,45.819 ,
LD-MG1,3.264 ,8.018 ,1.378 ,5.779 ,318.564 ,96.304 ,222.260 ,94.158 ,5.842 ,
LD-MG2,2.837 ,6.672 ,1.448 ,6.239 ,317.484 ,108.301 ,209.183 ,88.179 ,11.821 ,
LD-MG3,3.129 ,7.335 ,1.432 ,5.359 ,325.322 ,73.678 ,251.644 ,84.921 ,15.079 ,
HD-MG1,5.252 ,15.993 ,1.151 ,15.867 ,497.596 ,128.315 ,369.281 ,47.789 ,49.339 ,
HD-MG2,4.569 ,14.676 ,1.128 ,15.710 ,550.383 ,154.464 ,395.919 ,48.349 ,50.320 ,
HD-MG3,4.800 ,14.442 ,1.154 ,16.093 ,542.582 ,139.187 ,403.395 ,52.866 ,41.971 ,