ID,Genotype,Age,Weight,Repro_weight_mg,Soma_weight_mg
NW-002,NW,8,577.95,104.30,473.65
NW-003,NW,11,511.67,110.55,401.12
NW-004,NW,11,581.37,174.32,407.05
NW-005,NW,9,349.34,29.02,320.32
NW-006,NW,10,635.90,180.35,455.55
NW-007,NW,10,459.24,97.89,361.35
NW-008,NW,9,635.58,145.04,490.54
NW-009,NW,9,509.57,78.66,430.91
NW-010,NW,9,374.12,61.28,312.84
NW-011,NW,10,504.07,81.85,422.22
NW-012,NW,12,504.19,138.41,365.78
NW-013,NW,12,602.72,120.66,482.06
NW-014,NW,12,607.01,154.76,452.25
NW-015,NW,11,478.95,96.25,382.70
NW-016,NW,11,448.55,85.41,363.14
NW-017,NW,11,534.90,104.35,430.55
NW-018,NW,11,572.93,173.30,399.63
NW-019,NW,11,473.79,82.42,391.37
NW-020,NW,10,547.15,100.05,447.10
NW-021,NW,12,475.57,91.14,384.43
NW-022,NW,12,613.27,162.04,451.23
NW-023,NW,8,529.11,93.24,435.87
NW-024,NW,8,510.61,83.58,427.03
NW-025,NW,8,602.44,157.09,445.35
NW-026,NW,8,579.08,93.09,485.99
NW-027,NW,11,495.94,97.11,398.83
NW-028,NW,10,503.96,138.58,365.38
NW-029,NW,10,480.26,95.68,384.58
NW-030,NW,10,416.38,94.90,321.48
NW-031,NW,12,633.09,115.54,517.55
NW-032,NW,12,766.05,159.87,606.18
NW-033,NW,8,786.87,188.54,598.33
FW-001,FW,11,594.04,133.38,460.66
FW-002,FW,8,565.67,49.32,516.35
FW-003,FW,8,715.69,97.00,618.69
FW-004,FW,9,449.73,62.94,386.79
FW-005,FW,12,577.91,186.20,391.71
FW-006,FW,11,544.54,105.87,438.67
FW-007,FW,9,702.88,201.08,501.80
FW-008,FW,8,583.36,110.47,472.89
FW-009,FW,8,594.11,67.61,526.50
FW-010,FW,8,534.28,54.94,479.34
FW-011,FW,8,634.25,85.72,548.53
FW-012,FW,8,515.63,64.70,450.93
FW-013,FW,10,497.29,102.74,394.55
FW-015,FW,10,725.08,142.33,582.75
FW-016,FW,10,542.81,103.48,439.33
FW-017,FW,10,573.72,94.68,479.04
FW-018,FW,9,486.19,67.10,419.09
FW-019,FW,9,590.02,147.25,442.77
FW-020,FW,9,466.80,39.80,427.00
FW-021,FW,9,547.96,96.55,451.41
FW-022,FW,9,721.23,110.48,610.75
FW-023,FW,12,553.87,117.39,436.48
FW-024,FW,12,625.38,103.98,521.40
FW-025,FW,11,507.30,78.15,429.15
FW-026,FW,10,504.25,71.67,432.58
FW-027,FW,10,541.95,82.53,459.42
FW-028,FW,10,756.93,133.43,623.50
FW-029,FW,12,619.66,132.47,487.19
FW-030,FW,12,591.40,114.65,476.75
FW-031,FW,12,684.51,156.35,528.16
FW-032,FW,12,494.92,93.31,401.61
FW-033,FW,12,629.92,146.64,483.28
FW-034,FW,8,822.40,87.73,734.67
FW-035,FW,10,599.77,137.95,461.82