ID,Hue,C1RCR,C1MMP,PGC_1a
7261,23.33,2.97,335,0.0651
7271,33.00,2.73,205,0.0691
7281,9.67,4.51,358,0.0512
7282,12.00,2.06,291,0.0691
8031,17.33,4.04,367,0.0546
8032,13.33,1.96,339,0.0522
8041,8.00,3.66,409,0.0507
8101,14.67,1.46,489,0.0606
8104,14.00,2.90,431,0.0791
8105,23.67,1.77,295,0.0667
8106,21.00,NA,347,0.0751
8161,14.33,2.81,374,0.0523
8162,7.67,4.60,450,0.0504
8163,12.67,2.88,531,0.0490
8165,15.33,4.47,499,0.0573
8191,20.33,5.18,417,0.0500
8192,6.33,6.34,363,0.0702
8193,11.33,3.53,374,0.0490
8194,13.33,4.72,435,0.0502
8195,19.00,4.48,417,0.0524
8196,4.33,6.00,407,0.0488
8211,3.67,5.49,373,0.0627
8212,6.33,4.70,400,0.0597
8213,7.33,4.78,426,0.0642
8214,12.33,2.52,456,0.0751
8215,22.67,3.33,479,0.0921
8218,11.67,4.21,337,0.0733
82110,27.67,3.93,379,0.1232
82112,23.67,2.35,419,0.0996
8251,20.33,3.57,400,0.1011
8252,19.33,2.02,452,0.1068
8253,17.00,4.90,320,0.1141
8254,8.00,5.21,389,0.1221
8255,20.33,2.39,441,0.0500
8256,5.33,5.10,414,0.0653
8257,4.33,5.55,537,0.0474