Species,Male_brain_g,Female_brain_g,Male_mass_Kg,Female_mass_Kg,Mate_type
Monachus schauinslandi,370,NA,173,272.2,mono
Monachus monachus,480,480,260,275,mono
Mirounga angustirostris,700,640,2275,488,poly
Mirounga leonina,1431.3,898.8,3510,565.7,poly
Leptonychotes weddelli,535,637.5,450,447,poly
Ommatophoca rossi,425,530,153.8,164,mono
Lobodon carcinophagus,578.2,538.8,220.5,224,mono
Hydrurga leptonyx,765,660,324,367,mono
Cystophora cristata,480,430,343.2,222.5,mono
Erignathus barbatus,NA,460,312.5,326,mono
Halichoerus grypus,342.5,272.5,233,205.8,poly
Phoca groenlandica,297.5,252.5,145,139,mono
Phoca fasciata,257.5,240,94.8,80.4,mono
Phoca largha,257.5,250,97,71.3,mono
Phoca caspica,165,160,70.5,55,mono
Phoca sibirica,185,190,89.5,85,mono
Phoca hispida,229.3,220,84,81.2,mono
Phoca vitulina,362.3,265,97.1,85.2,mono
Zalophus californianus,405,361.5,244.5,81,poly
Eumetopias jubatus,747.5,575,1000,287.5,poly
Otaria byronia,546.3,470,300,144,poly
Neophoca cinerea,440,337.5,300,78.6,poly
Phocarctos hookeri,417.5,370,364,114.7,poly
Callorhinus ursinus,355,302.5,140,33.3,poly
Arctocephalus townsendi,NA,NA,112,49.6,poly
Arctocephalus philippii,415,NA,140,48.1,poly
Arctocephalus galapagoensis,302.5,280,64.5,27.4,poly
Arctocephalus australis,350,265,91,48.5,poly
Arctocephalus forsteri,340,300,125,38.1,poly
Arctocephalus gazella,360,320,155,45,poly
Arctocephalus tropicalis,322.5,330,152.5,50,poly
Arctocephalus pusillus,401.3,337.5,263,64.1,poly
Odobenus rosmarus,1303,1340.5,1233,811.5,poly