species,class,order,family,subfamily,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Cacatua_leadbeateri,Aves,Psittaciformes,Cacatuidae,Cacatuinae,77,390,volant,nonfossorial,semiarboreal,diurnal
Cacatua_moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatuinae,65.8,830,volant,nonfossorial,arboreal,diurnal
Cacatua_galerita,Aves,Psittaciformes,Cacatuidae,Cacatuinae,57,800,volant,nonfossorial,semiarboreal,diurnal
Probosciger_aterrimus,Aves,Psittaciformes,Cacatuidae,Cacatuinae,56.3,841,volant,nonfossorial,arboreal,diurnal
Cacatua_sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatuinae,49.7,340,volant,nonfossorial,arboreal,diurnal
Psittacus_erithacus,Aves,Psittaciformes,Psittacidae,Psittacinae,49.7,333,volant,nonfossorial,arboreal,diurnal
Amazona_aestiva,Aves,Psittaciformes,Psittacidae,NA,49,451,volant,nonfossorial,arboreal,diurnal
Cacatua_sanguinea,Aves,Psittaciformes,Cacatuidae,Cacatuinae,46.9,350,volant,nonfossorial,semiarboreal,diurnal
Ara_militaris,Aves,Psittaciformes,Psittacidae,Arinae,46,1134,volant,nonfossorial,arboreal,diurnal
Calyptorhynchus_banksii,Aves,Psittaciformes,Cacatuidae,Calyptorhynchinae,45.4,723.7,volant,nonfossorial,semiarboreal,diurnal
Ara_ararauna,Aves,Psittaciformes,Psittacidae,Arinae,43,1030,volant,nonfossorial,arboreal,diurnal
Cacatua_tenuirostris,Aves,Psittaciformes,Cacatuidae,Cacatuinae,43,567,volant,nonfossorial,terrestrial,diurnal
Calyptorhynchus_funereus,Aves,Psittaciformes,Cacatuidae,Calyptorhynchinae,41,678.5,volant,nonfossorial,arboreal,diurnal
Cacatua_roseicapilla,Aves,Psittaciformes,Cacatuidae,Cacatuinae,40,300,volant,nonfossorial,terrestrial,diurnal
Poicephalus_senegalus,Aves,Psittaciformes,Psittacidae,Psittacinae,40,155,volant,nonfossorial,semiarboreal,diurnal
Nymphicus_hollandicus,Aves,Psittaciformes,Cacatuidae,Nymphicinae,35,90,volant,nonfossorial,terrestrial,diurnal
Poicephalus_meyeri,Aves,Psittaciformes,Psittacidae,Psittacinae,34.2,117.5,volant,nonfossorial,arboreal,diurnal
Psittacula_krameri,Aves,Psittaciformes,Psittaculidae,NA,34,128,volant,nonfossorial,arboreal,diurnal
Poicephalus_rufiventris,Aves,Psittaciformes,Psittacidae,Psittacinae,33.4,120,volant,nonfossorial,arboreal,diurnal
Ara_macao,Aves,Psittaciformes,Psittacidae,Arinae,33,1040,volant,nonfossorial,arboreal,diurnal
Rhynchopsitta_pachyrhyncha,Aves,Psittaciformes,Psittacidae,NA,33,360,volant,nonfossorial,semiarboreal,diurnal
Poicephalus_cryptoxanthus,Aves,Psittaciformes,Psittacidae,Psittacinae,32.1,140,volant,nonfossorial,arboreal,diurnal
Cacatua_ophthalmica,Aves,Psittaciformes,Cacatuidae,Cacatuinae,31.9,492,volant,nonfossorial,arboreal,diurnal
Aratinga_acuticaudata,Aves,Psittaciformes,Psittacidae,NA,31,171,volant,nonfossorial,semiarboreal,diurnal
Amazona_amazonica,Aves,Psittaciformes,Psittacidae,NA,30,370,volant,nonfossorial,arboreal,diurnal
Psittacula_eupatria,Aves,Psittaciformes,Psittaculidae,NA,30,255,volant,nonfossorial,arboreal,diurnal
Poicephalus_robustus,Aves,Psittaciformes,Psittacidae,Psittacinae,29.7,344,volant,nonfossorial,arboreal,diurnal
Eclectus_roratus,Aves,Psittaciformes,Psittaculidae,NA,28.5,440,volant,nonfossorial,arboreal,diurnal
Callocephalon_fimbriatum,Aves,Psittaciformes,Cacatuidae,NA,27.5,256,volant,nonfossorial,arboreal,diurnal
Platycercus_eximius,Aves,Psittaciformes,Psittaculidae,NA,27.4,104,volant,nonfossorial,semiarboreal,diurnal
Amazona_autumnalis,Aves,Psittaciformes,Psittacidae,NA,27,416,volant,nonfossorial,arboreal,diurnal
Cacatua_alba,Aves,Psittaciformes,Cacatuidae,Cacatuinae,26.9,570,volant,nonfossorial,arboreal,diurnal
Platycercus_elegans,Aves,Psittaciformes,Psittaculidae,NA,26.8,124.5,volant,nonfossorial,semiarboreal,diurnal
Alisterus_scapularis,Aves,Psittaciformes,Psittaculidae,NA,26.6,232.5,volant,nonfossorial,semiarboreal,diurnal
Lorius_garrulus,Aves,Psittaciformes,Psittaculidae,NA,26.6,143,volant,nonfossorial,arboreal,diurnal
Lorius_domicella,Aves,Psittaciformes,Psittaculidae,NA,26,182,volant,nonfossorial,arboreal,diurnal
Pionites_leucogaster,Aves,Psittaciformes,Psittacidae,NA,26,155,volant,nonfossorial,arboreal,diurnal
Amazona_finschi,Aves,Psittaciformes,Psittacidae,NA,25.8,302,volant,nonfossorial,semiarboreal,diurnal
Amazona_albifrons,Aves,Psittaciformes,Psittacidae,NA,25.3,215,volant,nonfossorial,arboreal,diurnal
Amazona_festiva,Aves,Psittaciformes,Psittacidae,NA,24.5,430,volant,nonfossorial,arboreal,diurnal
Aprosmictus_erythropterus,Aves,Psittaciformes,Psittaculidae,NA,24.4,136,volant,nonfossorial,semiarboreal,diurnal
Polytelis_alexandrae,Aves,Psittaciformes,Psittaculidae,NA,23.9,104,volant,nonfossorial,semiarboreal,diurnal
Psittacula_alexandri,Aves,Psittaciformes,Psittaculidae,NA,23.3,147,volant,nonfossorial,arboreal,diurnal
Ara_rubrogenys,Aves,Psittaciformes,Psittacidae,Arinae,23,470,volant,nonfossorial,semiarboreal,diurnal
Myiopsitta_monachus,Aves,Psittaciformes,Psittacidae,NA,22.1,81.7,volant,nonfossorial,semiarboreal,diurnal
Ara_glaucogularis,Aves,Psittaciformes,Psittacidae,Arinae,22,784,volant,nonfossorial,arboreal,diurnal
Aratinga_holochlora,Aves,Psittaciformes,Psittacidae,NA,21.8,138,volant,nonfossorial,arboreal,diurnal
Deroptyus_accipitrinus,Aves,Psittaciformes,Psittacidae,NA,21.8,246,volant,nonfossorial,arboreal,diurnal
Melopsittacus_undulatus,Aves,Psittaciformes,Psittaculidae,NA,21,30,volant,nonfossorial,terrestrial,diurnal
Neophema_pulchella,Aves,Psittaciformes,Psittaculidae,NA,21,41.4,volant,nonfossorial,terrestrial,diurnal
Poicephalus_gulielmi,Aves,Psittaciformes,Psittacidae,Psittacinae,21,275,volant,nonfossorial,arboreal,diurnal
Pionus_menstruus,Aves,Psittaciformes,Psittacidae,NA,20.6,251,volant,nonfossorial,arboreal,diurnal
Chalcopsitta_sintillata,Aves,Psittaciformes,Psittaculidae,NA,19.7,190,volant,nonfossorial,arboreal,diurnal
Cyanoliseus_patagonus,Aves,Psittaciformes,Psittacidae,NA,19.5,278,volant,semifossorial,semiarboreal,diurnal
Agapornis_lilianae,Aves,Psittaciformes,Psittaculidae,NA,19.2,37.3,volant,nonfossorial,semiarboreal,diurnal
Nandayus_nenday,Aves,Psittaciformes,Psittacidae,NA,18.7,128,volant,nonfossorial,semiarboreal,diurnal
Lorius_lory,Aves,Psittaciformes,Psittaculidae,NA,18.5,177,volant,nonfossorial,semiarboreal,diurnal
Pionus_maximiliani,Aves,Psittaciformes,Psittacidae,NA,16.2,293,volant,nonfossorial,arboreal,diurnal
Polytelis_swainsonii,Aves,Psittaciformes,Psittaculidae,NA,15.1,153,volant,nonfossorial,semiarboreal,diurnal
Loriculus_galgulus,Aves,Psittaciformes,Psittaculidae,NA,14.3,28,volant,nonfossorial,arboreal,diurnal
Neophema_splendida,Aves,Psittaciformes,Psittaculidae,NA,14,38.6,volant,nonfossorial,terrestrial,diurnal
Polytelis_anthopeplus,Aves,Psittaciformes,Psittaculidae,NA,13.8,170,volant,nonfossorial,semiarboreal,diurnal
Pseudeos_fuscata,Aves,Psittaciformes,Psittaculidae,NA,13.4,149,volant,nonfossorial,arboreal,diurnal
Cyanoramphus_novaezelandiae,Aves,Psittaciformes,Psittaculidae,NA,12.4,92.6,volant,nonfossorial,semiarboreal,diurnal
Psephotus_haematonotus,Aves,Psittaciformes,Psittaculidae,NA,12.2,61.4,volant,nonfossorial,semiarboreal,diurnal
Glossopsitta_concinna,Aves,Psittaciformes,Psittaculidae,NA,11.5,70.8,volant,nonfossorial,arboreal,diurnal
Charmosyna_papou,Aves,Psittaciformes,Psittaculidae,NA,11.3,83,volant,nonfossorial,arboreal,diurnal
Forpus_coelestis,Aves,Psittaciformes,Psittacidae,NA,10.4,26.2,volant,nonfossorial,semiarboreal,diurnal
Cyanoramphus_auriceps,Aves,Psittaciformes,Psittaculidae,NA,9.3,46,volant,nonfossorial,semiarboreal,diurnal